PinCode,MccCode,Pincode_Mcccode,RegionName
533449,422,533449422,VIJAYAWADA
533216,421,533216421,VIJAYAWADA
533445,420,533445420,VIJAYAWADA
520601,419,520601419,VIJAYAWADA
533429,419,533429419,VIJAYAWADA
533216,419,533216419,VIJAYAWADA
522257,418,522257418,VIJAYAWADA
533429,418,533429418,VIJAYAWADA
521185,418,521185418,VIJAYAWADA
534312,418,534312418,VIJAYAWADA
533449,418,533449418,VIJAYAWADA
533429,417,533429417,VIJAYAWADA
533216,417,533216417,VIJAYAWADA
533445,417,533445417,VIJAYAWADA
522324,416,522324416,VIJAYAWADA
533429,416,533429416,VIJAYAWADA
533240,415,533240415,VIJAYAWADA
533214,414,533214414,VIJAYAWADA
533126,412,533126412,VIJAYAWADA
533214,412,533214412,VIJAYAWADA
533445,412,533445412,VIJAYAWADA
534341,410,534341410,VIJAYAWADA
533445,410,533445410,VIJAYAWADA
522329,410,522329410,VIJAYAWADA
522324,409,522324409,VIJAYAWADA
533449,409,533449409,VIJAYAWADA
507164,409,507164409,VIJAYAWADA
522329,409,522329409,VIJAYAWADA
523302,408,523302408,VIJAYAWADA
533428,408,533428408,VIJAYAWADA
534311,408,534311408,VIJAYAWADA
533449,408,533449408,VIJAYAWADA
521214,408,521214408,VIJAYAWADA
534302,407,534302407,VIJAYAWADA
533445,407,533445407,VIJAYAWADA
522257,406,522257406,VIJAYAWADA
533429,406,533429406,VIJAYAWADA
521185,405,521185405,VIJAYAWADA
533274,405,533274405,VIJAYAWADA
522314,405,522314405,VIJAYAWADA
534448,404,534448404,VIJAYAWADA
522314,404,522314404,VIJAYAWADA
507303,404,507303404,VIJAYAWADA
534448,403,534448403,VIJAYAWADA
533289,402,533289402,VIJAYAWADA
522314,402,522314402,VIJAYAWADA
521126,401,521126401,VIJAYAWADA
533445,401,533445401,VIJAYAWADA
521230,401,521230401,VIJAYAWADA
533228,397,533228397,VIJAYAWADA
522647,396,522647396,VIJAYAWADA
522646,394,522646394,VIJAYAWADA
522265,394,522265394,VIJAYAWADA
533239,394,533239394,VIJAYAWADA
522649,391,522649391,VIJAYAWADA
533216,391,533216391,VIJAYAWADA
522262,391,522262391,VIJAYAWADA
522256,390,522256390,VIJAYAWADA
522268,389,522268389,VIJAYAWADA
522314,388,522314388,VIJAYAWADA
522646,387,522646387,VIJAYAWADA
522314,387,522314387,VIJAYAWADA
522646,384,522646384,VIJAYAWADA
522646,382,522646382,VIJAYAWADA
522649,381,522649381,VIJAYAWADA
534342,381,534342381,VIJAYAWADA
522646,380,522646380,VIJAYAWADA
522649,379,522649379,VIJAYAWADA
521286,379,521286379,VIJAYAWADA
522649,377,522649377,VIJAYAWADA
521211,377,521211377,VIJAYAWADA
534112,375,534112375,VIJAYAWADA
521111,373,521111373,VIJAYAWADA
534112,372,534112372,VIJAYAWADA
534176,371,534176371,VIJAYAWADA
521211,370,521211370,VIJAYAWADA
534426,369,534426369,VIJAYAWADA
533309,369,533309369,VIJAYAWADA
521214,369,521214369,VIJAYAWADA
534301,368,534301368,VIJAYAWADA
534111,367,534111367,VIJAYAWADA
507303,367,507303367,VIJAYAWADA
533222,365,533222365,VIJAYAWADA
521211,365,521211365,VIJAYAWADA
507301,365,507301365,VIJAYAWADA
521211,364,521211364,VIJAYAWADA
522262,364,522262364,VIJAYAWADA
522262,363,522262363,VIJAYAWADA
534401,361,534401361,VIJAYAWADA
522647,361,522647361,VIJAYAWADA
533222,361,533222361,VIJAYAWADA
521110,360,521110360,VIJAYAWADA
522649,359,522649359,VIJAYAWADA
521211,359,521211359,VIJAYAWADA
534451,359,534451359,VIJAYAWADA
521109,358,521109358,VIJAYAWADA
533437,358,533437358,VIJAYAWADA
522262,358,522262358,VIJAYAWADA
533213,357,533213357,VIJAYAWADA
534467,356,534467356,VIJAYAWADA
522649,354,522649354,VIJAYAWADA
522262,353,522262353,VIJAYAWADA
521215,352,521215352,VIJAYAWADA
533217,352,533217352,VIJAYAWADA
533016,351,533016351,VIJAYAWADA
521215,350,521215350,VIJAYAWADA
533001,317,533001317,VIJAYAWADA
533210,348,533210348,VIJAYAWADA
522256,348,522256348,VIJAYAWADA
522262,346,522262346,VIJAYAWADA
507303,346,507303346,VIJAYAWADA
522268,345,522268345,VIJAYAWADA
521110,344,521110344,VIJAYAWADA
522647,343,522647343,VIJAYAWADA
533436,338,533436338,VIJAYAWADA
522314,338,522314338,VIJAYAWADA
522647,336,522647336,VIJAYAWADA
533222,334,533222334,VIJAYAWADA
521101,334,521101334,VIJAYAWADA
507306,334,507306334,VIJAYAWADA
521230,333,521230333,VIJAYAWADA
523302,331,523302331,VIJAYAWADA
522647,330,522647330,VIJAYAWADA
522649,329,522649329,VIJAYAWADA
534451,328,534451328,VIJAYAWADA
533468,328,533468328,VIJAYAWADA
533468,327,533468327,VIJAYAWADA
534112,326,534112326,VIJAYAWADA
533241,326,533241326,VIJAYAWADA
534312,326,534312326,VIJAYAWADA
533468,326,533468326,VIJAYAWADA
523302,324,523302324,VIJAYAWADA
534451,324,534451324,VIJAYAWADA
521182,323,521182323,VIJAYAWADA
533342,323,533342323,VIJAYAWADA
522256,322,522256322,VIJAYAWADA
533287,321,533287321,VIJAYAWADA
533463,321,533463321,VIJAYAWADA
522268,321,522268321,VIJAYAWADA
533222,320,533222320,VIJAYAWADA
522256,319,522256319,VIJAYAWADA
522412,319,522412319,VIJAYAWADA
523302,318,523302318,VIJAYAWADA
522649,318,522649318,VIJAYAWADA
533221,318,533221318,VIJAYAWADA
533309,318,533309318,VIJAYAWADA
148034,702,148034702,RAI
523302,315,523302315,VIJAYAWADA
522615,315,522615315,VIJAYAWADA
522615,313,522615313,VIJAYAWADA
507203,313,507203313,VIJAYAWADA
533308,312,533308312,VIJAYAWADA
522268,312,522268312,VIJAYAWADA
522615,311,522615311,VIJAYAWADA
522615,310,522615310,VIJAYAWADA
522262,310,522262310,VIJAYAWADA
522314,308,522314308,VIJAYAWADA
523302,306,523302306,VIJAYAWADA
522265,305,522265305,VIJAYAWADA
507306,305,507306305,VIJAYAWADA
534451,302,534451302,VIJAYAWADA
534447,301,534447301,VIJAYAWADA
533232,301,533232301,VIJAYAWADA
533449,301,533449301,VIJAYAWADA
507164,301,507164301,VIJAYAWADA
522258,300,522258300,VIJAYAWADA
534329,299,534329299,VIJAYAWADA
522259,299,522259299,VIJAYAWADA
533201,297,533201297,VIJAYAWADA
522313,296,522313296,VIJAYAWADA
522259,295,522259295,VIJAYAWADA
533216,295,533216295,VIJAYAWADA
533435,294,533435294,VIJAYAWADA
534320,291,534320291,VIJAYAWADA
534216,289,534216289,VIJAYAWADA
522259,289,522259289,VIJAYAWADA
522261,287,522261287,VIJAYAWADA
533249,287,533249287,VIJAYAWADA
522410,286,522410286,VIJAYAWADA
522403,284,522403284,VIJAYAWADA
522259,281,522259281,VIJAYAWADA
534112,279,534112279,VIJAYAWADA
522403,279,522403279,VIJAYAWADA
522403,278,522403278,VIJAYAWADA
533222,275,533222275,VIJAYAWADA
522403,275,522403275,VIJAYAWADA
522259,272,522259272,VIJAYAWADA
534467,269,534467269,VIJAYAWADA
534416,268,534416268,VIJAYAWADA
534467,268,534467268,VIJAYAWADA
533232,268,533232268,VIJAYAWADA
534112,267,534112267,VIJAYAWADA
534447,267,534447267,VIJAYAWADA
533233,267,533233267,VIJAYAWADA
522309,267,522309267,VIJAYAWADA
522256,266,522256266,VIJAYAWADA
534467,266,534467266,VIJAYAWADA
533309,266,533309266,VIJAYAWADA
534447,265,534447265,VIJAYAWADA
533232,265,533232265,VIJAYAWADA
522410,264,522410264,VIJAYAWADA
522615,263,522615263,VIJAYAWADA
533306,263,533306263,VIJAYAWADA
522259,262,522259262,VIJAYAWADA
522615,262,522615262,VIJAYAWADA
523302,261,523302261,VIJAYAWADA
522403,261,522403261,VIJAYAWADA
534112,260,534112260,VIJAYAWADA
533201,256,533201256,VIJAYAWADA
534456,253,534456253,VIJAYAWADA
522259,252,522259252,VIJAYAWADA
522615,252,522615252,VIJAYAWADA
522403,251,522403251,VIJAYAWADA
533263,251,533263251,VIJAYAWADA
534112,250,534112250,VIJAYAWADA
534112,247,534112247,VIJAYAWADA
534425,247,534425247,VIJAYAWADA
522615,245,522615245,VIJAYAWADA
522435,244,522435244,VIJAYAWADA
533218,242,533218242,VIJAYAWADA
522615,242,522615242,VIJAYAWADA
533445,242,533445242,VIJAYAWADA
522615,239,522615239,VIJAYAWADA
533437,239,533437239,VIJAYAWADA
523302,237,523302237,VIJAYAWADA
522413,237,522413237,VIJAYAWADA
533305,237,533305237,VIJAYAWADA
507301,236,507301236,VIJAYAWADA
533430,235,533430235,VIJAYAWADA
507164,234,507164234,VIJAYAWADA
522259,233,522259233,VIJAYAWADA
523302,232,523302232,VIJAYAWADA
521182,232,521182232,VIJAYAWADA
521185,231,521185231,VIJAYAWADA
522647,230,522647230,VIJAYAWADA
522314,230,522314230,VIJAYAWADA
534460,230,534460230,VIJAYAWADA
522647,229,522647229,VIJAYAWADA
533430,229,533430229,VIJAYAWADA
522314,229,522314229,VIJAYAWADA
523302,228,523302228,VIJAYAWADA
522659,228,522659228,VIJAYAWADA
533431,227,533431227,VIJAYAWADA
534456,227,534456227,VIJAYAWADA
522659,226,522659226,VIJAYAWADA
522256,226,522256226,VIJAYAWADA
